student_id,study_hours,attendance_pct,final_score,age,city,passed
1,4,57,66,19,Jakarta,yes
2,7,62,62,18,Surabaya,no
3,3,68,55,20,Bandung,no
4,1,50,49,23,Surabaya,no
5,1,58,51,20,Bandung,no
6,10,79,73,19,Surabaya,yes
7,6,67,61,21,Surabaya,no
8,9,77,90,21,Surabaya,yes
9,1,67,30,18,Bandung,no
10,7,83,78,18,Bandung,yes
11,7,80,71,21,Jakarta,yes
12,3,66,45,19,Surabaya,no
13,5,73,64,23,Bandung,no
14,40,98,99,22,Surabaya,yes
15,7,85,81,22,Surabaya,yes
16,8,72,86,22,Jakarta,yes
17,10,81,75,19,Surabaya,yes
18,8,76,69,23,Surabaya,yes
19,2,64,56,,Jakarta,no
20,10,84,76,19,Bandung,yes
21,10,89,89,23,Surabaya,yes
22,7,73,70,19,Bandung,yes
23,9,85,84,18,Jakarta,yes
24,5,73,63,19,Bandung,no
25,6,70,60,18,Surabaya,no
26,5,59,56,18,Surabaya,no
27,4,75,55,18,Surabaya,no
28,3,67,50,19,Bandung,no
29,1,53,36,20,Bandung,no
30,4,57,65,18,Surabaya,yes
31,9,63,86,23,Bandung,yes
32,5,73,57,22,Jakarta,no
33,3,78,58,22,Bandung,no
34,2,64,58,23,Jakarta,no
35,8,64,69,23,Jakarta,yes
